id,name,salary_from,salary_to,salary_currency,area,city,latitude,longitude,employer_url,professional_role
109539614,Администратор,400000,550000,KZT,Алматы,Алматы,43.238667,76.909883,https://hh.ru/employer/2617076,Администратор
109539534,Врач-педиатр,250000,300000,KZT,Алматы,Алматы,43.260238,76.813763,https://hh.ru/employer/4356682,Врач
109539479,Менеджер по продажам,400000,600000,KZT,Алматы,Алматы,,,https://hh.ru/employer/1750348,"Менеджер по продажам, менеджер по работе с клиентами"
109539380,HR-generalist,300000,350000,KZT,Алматы,Алматы,43.251512,76.933751,https://hh.ru/employer/10537291,Директор по персоналу (HRD)
109539183,"Менеджер по продажам (Продавец-кассир) в ""Vans"" (ТРЦ Mega Alma-Ata)",150000,,KZT,Алматы,Алматы,,,https://hh.ru/employer/47589,"Продавец-консультант, продавец-кассир"
109539113,Жестянщик,200000,350000,KZT,Алматы,Алматы,43.350084,76.974346,https://hh.ru/employer/704409,Другое
109539003,Андеррайтер (медицинские риски),,,,Алматы,Алматы,,,https://hh.ru/employer/91038,Андеррайтер
107553111,Менеджер по продажам,350000,,KZT,Алматы,Алматы,43.2575,76.862003,https://hh.ru/employer/11442664,"Менеджер по продажам, менеджер по работе с клиентами"
108030923,Менеджер по работе с клиентами,200000,450000,KZT,Алматы,Алматы,43.23742634231912,76.91470217294489,https://hh.ru/employer/2800179,"Менеджер по продажам, менеджер по работе с клиентами"
109538913,Специалист по аудиту / стажер,,,,Алматы,Алматы,43.23005,76.96097,https://hh.ru/employer/2753008,Бухгалтер
109538901,Проектный менеджер,400000,,KZT,Алматы,Алматы,43.258938,76.854861,https://hh.ru/employer/1942237,Руководитель проектов
109538821,"Фармацевт-Провизор, Аптека",150000,250000,KZT,Алматы,Алматы,43.358481,76.934344,https://hh.ru/employer/10856893,Фармацевт-провизор
109538819,Инструктор по йоге,120000,,KZT,Алматы,Алматы,43.329272822795964,76.95055165235533,https://hh.ru/employer/10097573,"Фитнес-тренер, инструктор тренажерного зала"
109155481,Middle аналитик (data partner),,,,Алматы,Алматы,,,https://hh.ru/employer/5641524,"BI-аналитик, аналитик данных"
108007142,Бухгалтер,250000,450000,KZT,Алматы,Алматы,,,https://hh.ru/employer/10842696,Бухгалтер
109538138,Супервайзер по дистанционному обучению и системам,,,,Алматы,Алматы,,,https://hh.ru/employer/31453,"Учитель, преподаватель, педагог"
109537981,Дизайнер дистанционного обучения,,,,Алматы,Алматы,,,https://hh.ru/employer/31453,Методист
109537900,Менеджер по работе с клиентами,250000,450000,KZT,Алматы,Алматы,43.232119,76.843237,https://hh.ru/employer/3357409,"Менеджер по продажам, менеджер по работе с клиентами"
109537872,Главный бухгалтер,500000,,KZT,Алматы,Алматы,43.26598358154297,76.9491195678711,https://hh.ru/employer/9289017,Бухгалтер
109537713,Логист,350000,450000,KZT,Алматы,Алматы,43.246134,76.903963,https://hh.ru/employer/9328789,"Менеджер по логистике, менеджер по ВЭД"
109537592,Аналитик отдела аналитик и исследований,,,,Алматы,Алматы,,,https://hh.ru/employer/648250,Аналитик
109537435,Администратор ресепшионист,150000,150000,KZT,Алматы,Алматы,,,https://hh.ru/employer/4012199,Администратор
109537413,Продавец-консультант,200000,300000,KZT,Алматы,Алматы,43.233787,76.93544,https://hh.ru/employer/10805280,"Продавец-консультант, продавец-кассир"
109537274,Менеджер отдела корпоративных продаж,400000,1000000,KZT,Алматы,Алматы,43.251663,76.860494,https://hh.ru/employer/1581187,Другое
109537262,Торговый представитель на проекты Яндекса,60000,,RUR,Алматы,Алматы,,,https://hh.ru/employer/4846919,Торговый представитель
109537259,Помощник Контент-менеджера/Reels maker (Монтаж видео),100000,150000,KZT,Алматы,Алматы,43.225044,76.908976,https://hh.ru/employer/6048857,"Видеооператор, видеомонтажер"
109537130,Монтажник охранно-тревожной сигнализации,350000,600000,KZT,Алматы,Алматы,43.181212,76.867923,https://hh.ru/employer/5160865,Монтажник
109537122,Графический дизайнер в полиграфию,300000,,KZT,Алматы,Алматы,43.25142,76.969504,https://hh.ru/employer/10605189,"Дизайнер, художник"
109537057,Менеджер по продажам,180000,1000000,KZT,Алматы,Алматы,43.231902,76.94542,https://hh.ru/employer/11559316,"Менеджер по продажам, менеджер по работе с клиентами"
109537000,Сборщик электрощитового оборудования,300000,1000000,KZT,Алматы,Алматы,,,https://hh.ru/employer/3036740,Электромонтажник
109536980,Водитель – инкассатор,,,,Алматы,Алматы,,,https://hh.ru/employer/25880,Водитель
109536850,Менеджер по продажам,500000,1500000,KZT,Алматы,Алматы,43.223921,76.835547,https://hh.ru/employer/10726234,"Менеджер по продажам, менеджер по работе с клиентами"
109536831,Водитель-курьер легких заказов (доставка корреспонденции и товаров для дома),,728000,KZT,Алматы,Алматы,,,https://hh.ru/employer/9551760,Водитель
109536828,Главный специалист в Отдел информационной безопасности,,,,Алматы,Алматы,43.238772,76.943561,https://hh.ru/employer/1121676,Специалист по информационной безопасности
109536722,Старший аналитик,,,,Алматы,Алматы,43.242154,76.957646,https://hh.ru/employer/2397768,"Финансовый аналитик, инвестиционный аналитик"
109536612,Продавец-кассир в пекарню,,,,Алматы,Алматы,43.214966,76.858787,https://hh.ru/employer/11559311,"Продавец-консультант, продавец-кассир"
108854642,Финансовый аналитик в автоцентр Mycar Raiymbek,,,,Алматы,Алматы,43.256883,76.866027,https://hh.ru/employer/5676019,"Финансовый аналитик, инвестиционный аналитик"
109536482,Водитель премиум класса,450000,,KZT,Алматы,Алматы,,,https://hh.ru/employer/669155,Другое
